name,neighbours,pca_dimensions,metric,eval_accuracy,time_train,time_pred
pca_model_knn_1_33_auto_1,1,33,manhattan,0.37626079687935354,0.11232199668884277,10.234228134155273
pca_model_knn_1_33_auto_2,1,33,euclidian,0.3700195040401225,0.0999495506286621,7.232556581497192
pca_model_knn_1_66_auto_1,1,66,manhattan,0.38005015324602953,0.10012640953063964,21.893992710113526
pca_model_knn_1_66_auto_2,1,66,euclidian,0.37570353859013655,0.10925655364990235,7.99604115486145
pca_model_knn_1_99_auto_1,1,99,manhattan,0.3738088604067985,0.11450362205505371,31.551573610305788
pca_model_knn_1_99_auto_2,1,99,euclidian,0.37453329618278075,0.1166994571685791,8.430894899368287
pca_model_knn_1_132_auto_1,1,132,manhattan,0.3714683755920869,0.12136411666870117,42.25751929283142
pca_model_knn_1_132_auto_2,1,132,euclidian,0.3702424073558094,0.12549519538879395,9.082691335678101
pca_model_knn_1_165_auto_1,1,165,manhattan,0.3677347450543327,0.12706441879272462,52.530862140655515
pca_model_knn_1_165_auto_2,1,165,euclidian,0.36673168013374197,0.12755198478698732,8.82429141998291
pca_model_knn_1_198_auto_1,1,198,manhattan,0.36205071050431875,0.13485360145568848,62.39640574455261
pca_model_knn_1_198_auto_2,1,198,euclidian,0.3644469211479521,0.1341703414916992,9.530600452423096
pca_model_knn_2_33_auto_1,2,33,manhattan,0.34388409027584277,0.10262656211853027,11.008167171478272
pca_model_knn_2_33_auto_2,2,33,euclidian,0.33246029534689325,0.09945650100708008,8.517737197875977
pca_model_knn_2_66_auto_1,2,66,manhattan,0.34633602674839786,0.10008826255798339,23.380577421188356
pca_model_knn_2_66_auto_2,2,66,euclidian,0.335915296740039,0.1082273006439209,9.032800960540772
pca_model_knn_2_99_auto_1,2,99,manhattan,0.3384786848704374,0.12034435272216797,33.41290540695191
pca_model_knn_2_99_auto_2,2,99,euclidian,0.335915296740039,0.12093548774719239,9.38435320854187
pca_model_knn_2_132_auto_1,2,132,manhattan,0.32493730844246305,0.12363581657409668,44.20047326087952
pca_model_knn_2_132_auto_2,2,132,euclidian,0.3339648927277793,0.12707457542419434,10.359761953353882
pca_model_knn_2_165_auto_1,2,165,manhattan,0.3251602117581499,0.13474888801574708,58.28187336921692
pca_model_knn_2_165_auto_2,2,165,euclidian,0.333853441069936,0.1349407196044922,10.326155376434325
pca_model_knn_2_198_auto_1,2,198,manhattan,0.3237113402061856,0.13736653327941895,64.52663087844849
pca_model_knn_2_198_auto_2,2,198,euclidian,0.33062134299247703,0.1439362049102783,11.122679519653321
pca_model_knn_3_33_auto_1,3,33,manhattan,0.33468932850376143,0.10186514854431153,11.727380895614624
pca_model_knn_3_33_auto_2,3,33,euclidian,0.32365561437726387,0.10044097900390625,9.321712446212768
pca_model_knn_3_66_auto_1,3,66,manhattan,0.3394260239621064,0.10354146957397461,23.836108875274657
pca_model_knn_3_66_auto_2,3,66,euclidian,0.3270548899414879,0.10982460975646972,9.970406103134156
pca_model_knn_3_99_auto_1,3,99,manhattan,0.33112287545277236,0.11936807632446289,35.28290839195252
pca_model_knn_3_99_auto_2,3,99,euclidian,0.32660908331011423,0.11626925468444824,10.126972675323486
pca_model_knn_3_132_auto_1,3,132,manhattan,0.3202006129841181,0.12319426536560059,45.723588514328
pca_model_knn_3_132_auto_2,3,132,euclidian,0.3254945667316801,0.12678084373474122,11.11010308265686
pca_model_knn_3_165_auto_1,3,165,manhattan,0.316634159933129,0.13064537048339844,55.24116621017456
pca_model_knn_3_165_auto_2,3,165,euclidian,0.32259682362775144,0.1271341323852539,10.758339786529541
